40000.000000  0.050000
3243288176617.922852  1.000000
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
-nan  -nan
